design_tag,character,engine_start_date,engine_end_date,regnal_number,historical_reign,source,confidence,note
BUY,antq_daeso_buyeo,1.1.1,,,traditional chronology: 20 BCE-AD 22,P8.3;SAM;AKS-DAE;KCI-BUY,contested,The engine term begins at the campaign boundary; the historical source identifies Daeso as Buyeo king while exact political continuity remains contested.
CLZ,antq_pythodoris_pontus,1.1.1,,,succeeded Polemon after 8 BCE and attested ruling in Strabo's early first-century account,P8.2;OCD;PLE;STR-CLZ;TSU-CLZ,secure,The engine term begins at the campaign boundary; no unsupported accession day or endpoint is scripted.
ISK,antq_azes_ii,1.1.1,,,Azes dynasty c. 50 BCE-AD 30,P8.4;CAH-XI;IRAN-AZES,contested,The source supports the dynasty's broad period and the plan's Azes start but not an uncontested individual accession sequence; the engine term begins at the campaign boundary.
IGR,antq_strato_ii,1.1.1,,,c. 25 BCE-AD 10,P8.4;CAH-XI;IRAN-IGR,contested,Strato II's final eastern-Punjab reign ends around AD 10; the engine term begins only at the campaign boundary and does not pre-script annexation.
PRS,antq_nambed,1.1.1,,,AD 1-100 broad numismatic range,P8.2;OCD;IRAN-PRS;IRIS-NAM,contested,The academic coin record gives a broad AD 1-100 range; it supports the campaign-boundary court but not an accession day or successor.
CHA,antq_attambelos_ii,1.1.1,,,c. 17/16 BCE-AD 8/9,P8.2;OCD;IRAN-CHA;SCHU-CHA,contested,Numismatic chronologies place Attambelos II across AD 1 but vary on endpoint notation; the engine term begins only at the campaign boundary.
ANU,antq_bhatikabhaya_abhaya,1.1.1,,,traditionally c. 20 BCE-AD 9,P8.4;CAH-XI;SRI-BHAT,contested,The sources securely place Bhatikabhaya Abhaya at AD 1 but vary on regnal endpoints; the campaign term begins only at the game boundary.
ROM,antq_augustus,1.1.1,,,27 BCE–AD 14,P8.1;OCD;MET,secure,The engine term begins at the campaign boundary rather than fabricating an accession-day date before the playable calendar.
PAR,antq_phraates_v,1.1.1,,,2 BCE–AD 4,P8.2;CAH-XI;OCD;IRAN-PHR,secure,The documented Arsacid reign is preserved as source metadata while only the AD 1 campaign boundary is scripted.
MAU,antq_juba_ii,1.1.1,,,25 BCE–AD 23,P8.1;OCD,secure,The campaign-valid term represents the existing client king at the start.
NAB,antq_aretas_iv,1.1.1,,,9 BCE–AD 40,P8.1;OCD,secure,The campaign-valid term represents the existing Nabataean king at the start.
KUS,antq_natakamani,1.1.1,,,attested at AD 1,P8.5;CAH-XI;PLE,secure,The source set supports the named AD 1 co-rule but not a day-level accession date.
XIO,antq_wuzhuliu,1.1.1,,,8 BCE–AD 13,P8.3;CAH-XI,secure,The campaign-valid term represents the documented chanyu at the start.
GOG,antq_yuri_goguryeo,1.1.1,,,19 BCE–AD 18,P8.3;SAM,secure,The conventional Samguk Sagi reign range is retained as metadata rather than scripted before year one.
MCM,antq_maroboduus,1.1.1,,,c. 9 BCE–AD 18,P8.7;CAH-XI,secure,The term preserves only a campaign-boundary start because the precise accession day is not attested.
CAT,antq_tasciovanus,1.1.1,,,attested at AD 1,P8.7;CAH-XI,contested,The chronology and successor ordering remain deliberately contested pending the later Brittonic prosopography pass.
TRI,antq_dubnovellaunos,1.1.1,,,coin authority 20 BCE to AD 10,P8.7;CCI-DUB,contested,The Oxford coin-index range covers the campaign boundary; the engine term begins at 1 January without asserting a personal accession day later Catuvellaunian sequence or fixed Cantii relationship.
ATB,antq_tincomarus,1.1.1,,,coin authority 20 BCE to AD 10,P8.7;CCI-TIN,secure,The coin-index range covers the campaign boundary; the engine term starts at 1 January without asserting a personal accession day or later deposition.
JUD,antq_herod_archelaus,1.1.1,,,4 BCE–AD 6,P8.1;OCD,secure,The campaign-valid term represents the AD 1 ethnarch without prematurely scripting the 6 CE annexation.
GAL,antq_herod_antipas,1.1.1,,,4 BCE–AD 39,P8.1;OCD,secure,The campaign-valid term represents the AD 1 tetrarch.
BAT,antq_philip_tetrarch,1.1.1,,,4 BCE–AD 34,P8.1;OCD,secure,The campaign-valid term represents the AD 1 tetrarch.
CAP,antq_archelaus_cappadocia,1.1.1,,,36 BCE–AD 17,P8.1;OCD,secure,The campaign-valid term represents the named Cappadocian client king.
COM,antq_antiochus_iii_commagene,1.1.1,,,12 BCE–AD 17,P8.1;OCD,secure,The campaign-valid term represents the named Commagene client king.
THR,antq_rhoemetalces_i,1.1.1,,,11 BCE–AD 12,P8.1;OCD,secure,The campaign-valid term represents the named Odrysian client king.
BOS,antq_dynamis,1.1.1,,,contested AD 1 succession,P8.1;OCD;PLE,contested,The term encodes the plan's contested start configuration and does not assert a settled accession sequence.
EME,antq_iamblichus_ii,1.1.1,,,attested at AD 1,P8.1;OCD;PLE,secure,The engine term represents the established Emesan dynast without inventing an accession day.
OSR,antq_abgar_v,1.1.1,,,4 BCE–AD 7,P8.2;OCD;PLE,secure,The engine term represents Abgar V's first tenure without prematurely scripting its end.
ATR,antq_ariobarzanes_ii_atropatene,1.1.1,,,c. 20 BCE–AD 4,P8.2;OCD;PLE;IRAN-ATR,contested,The precise accession year is uncertain so the engine term begins only at the campaign boundary.
ARM,antq_tigranes_iv,1.1.1,,,2 BCE–AD 1,P8.2;CAH-XI;PLE;IRAN-ARM,contested,The AD 1 succession is intra-year and remains M10 content rather than a start-date assertion.
IBR,antq_pharasmanes_i,1.1.1,,,c. AD 1–58,P8.2;OCD;PLE;TOUM-IBR,contested,The conventional accession sits at the campaign boundary so the engine term starts at 1 January without claiming a precise day.
